ticker,window_start,window_end,strategy,dip_threshold,exit_threshold,source,total_return,sharpe,max_drawdown,trades
SPY,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
SPY,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,0.062,0.67,-0.028,2
SPY,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.108,-0.22,-0.283,2
SPY,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
SPY,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
SPY,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.078,0.51,-0.063,2
AAPL,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,-0.03,-0.06,-0.16,6
AAPL,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.106,1.03,-0.048,2
AAPL,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,-0.185,-0.7,-0.269,4
AAPL,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.019,0.09,-0.259,6
AAPL,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.172,0.77,-0.08,8
AAPL,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
AAPL,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.354,1.19,-0.088,8
QQQ,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.077,0.75,-0.043,2
QQQ,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
QQQ,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,0.07,0.63,-0.033,2
QQQ,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.068,-0.11,-0.224,2
QQQ,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.094,0.49,-0.129,6
QQQ,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.085,1.32,-0.011,2
