dip_threshold,profit_target,stop_loss,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.015,0.01,0.03,-0.42660947948584366,-1.4075415176928472,451.77777777777777,-0.8375538968441223
-0.015,0.015,0.02,-0.4580087030084228,-1.397517636216572,483.3333333333333,-0.7340832209898571
-0.015,0.02,0.03,-0.46446256550267745,-1.2388367451973736,391.3333333333333,-0.8192858705998106
-0.015,0.03,0.05,-0.47106723094923936,-0.9869139609985916,261.3333333333333,-0.822090036155274
-0.015,0.01,0.02,-0.48884783870356746,-1.7306787705656344,512.6666666666666,-0.8231217133059701
-0.015,0.03,0.03,-0.4903017196276104,-1.1927756000139353,352.0,-0.8049157279567372
-0.015,0.02,0.02,-0.5147067008973324,-1.5812733183957313,456.6666666666667,-0.8393730262048853
-0.015,0.04,0.05,-0.5148139080631093,-1.0257869809738154,229.55555555555554,-0.7877888140392023
-0.015,0.03,0.02,-0.5449488884710083,-1.503142979668465,422.6666666666667,-0.7866144062361575
-0.015,0.04,0.02,-0.5812298629384252,-1.5843153946259405,389.55555555555554,-0.8312152362067489
-0.015,0.04,0.03,-0.6004496360063949,-1.428038496314556,318.44444444444446,-0.8237277685311644
-0.01,0.02,0.05,-0.6594822127190569,-1.7912069392432568,481.1111111111111,-0.9417841442241477
-0.01,0.03,0.05,-0.6769684573417966,-1.69940587395334,377.8888888888889,-0.9488721626940642
-0.01,0.04,0.05,-0.7002481434244535,-1.6910836189307052,311.44444444444446,-0.9316699375731401
-0.01,0.01,0.05,-0.7014876151547917,-2.2280089717661684,654.8888888888889,-0.9609511414626855
-0.01,0.015,0.05,-0.7030206826321818,-2.0457713004037377,554.6666666666666,-0.936262338029675
-0.01,0.03,0.03,-0.7441705168840644,-2.110003067690332,557.1111111111111,-0.952392060800109
-0.01,0.02,0.03,-0.7636974434632716,-2.524766937601274,669.8888888888889,-0.9531327762606583
-0.01,0.01,0.03,-0.7654538933286615,-2.9592264421099306,871.8888888888889,-0.9734999622892258
-0.01,0.04,0.03,-0.77096431676745,-2.15763798441241,471.44444444444446,-0.9293452686403886
-0.005,0.04,0.05,-0.7729891255572143,-1.9242225082709719,353.8888888888889,-0.9265333342321489
-0.01,0.04,0.02,-0.7828688184896878,-2.4209171426010045,632.6666666666666,-0.9451665910359445
-0.01,0.015,0.03,-0.7829078986003132,-2.857716312882101,755.6666666666666,-0.9604697425240242
-0.005,0.03,0.05,-0.7867263458112961,-2.139858859516036,441.6666666666667,-0.9573008381827508
-0.01,0.02,0.02,-0.7925233914284426,-3.007002406648981,861.3333333333334,-0.9601016684869618
-0.01,0.03,0.02,-0.7945941015621725,-2.6885328221961853,730.8888888888889,-0.9602347884459925
-0.005,0.02,0.05,-0.8178340751008294,-2.4314190534359956,599.3333333333334,-0.9459710876248107
-0.01,0.015,0.02,-0.8178594000184707,-3.4462237018487847,945.3333333333334,-0.96775327095559
-0.01,0.01,0.02,-0.8328027634988097,-3.9156128312339513,1041.5555555555557,-0.9777822916767513
-0.005,0.04,0.03,-0.8417198102017427,-2.655268984007072,558.6666666666666,-0.9706459360781534
-0.005,0.015,0.05,-0.8425965734800708,-2.810431800732348,739.3333333333334,-0.9681086891512092
-0.005,0.03,0.03,-0.8627896001654132,-2.9559399106711175,697.5555555555555,-0.97375658830115
-0.005,0.04,0.02,-0.8795286948332541,-3.1261163692208336,798.6666666666666,-0.9729428097850262
-0.005,0.01,0.05,-0.8842344501087864,-3.3649000025894282,967.1111111111111,-0.9604097974117254
-0.005,0.02,0.03,-0.8864238742729292,-3.4063317935614665,924.7777777777778,-0.9788060965623405
-0.005,0.03,0.02,-0.9036055383989746,-3.7165133456588726,974.3333333333334,-0.9826805159159954
-0.005,0.015,0.03,-0.9081739222401602,-3.862274778973909,1108.3333333333333,-0.9876451079076755
-0.005,0.02,0.02,-0.9371521346263384,-4.56499815436898,1287.5555555555557,-0.9891456254938501
-0.005,0.01,0.03,-0.9382454387883428,-4.652392115285327,1415.4444444444443,-0.9877813177370862
-0.005,0.015,0.02,-0.9498838471867851,-5.249835619580684,1527.0,-0.99415466560424
-0.005,0.01,0.02,-0.9667446232720951,-6.352509039612092,1888.3333333333333,-0.9962053162626149
